Date,ALL,Hokkaido,Aomori,Iwate,Miyagi,Akita,Yamagata,Fukushima,Ibaraki,Tochigi,Gunma,Saitama,Chiba,Tokyo,Kanagawa,Niigata,Toyama,Ishikawa,Fukui,Yamanashi,Nagano,Gifu,Shizuoka,Aichi,Mie,Shiga,Kyoto,Osaka,Hyogo,Nara,Wakayama,Tottori,Shimane,Okayama,Hiroshima,Yamaguchi,Tokushima,Kagawa,Ehime,Kochi,Fukuoka,Saga,Nagasaki,Kumamoto,Oita,Miyazaki,Kagoshima,Okinawa
2020/5/9,15559,945,27,0,88,16,69,81,168,56,147,961,876,4965,1158,80,216,277,122,56,75,152,73,491,45,97,347,1732,688,90,62,3,24,24,165,37,5,28,48,74,653,45,17,48,60,17,10,141
2020/5/10,15629,954,27,0,88,16,69,81,168,56,147,966,876,4987,1171,80,216,278,122,56,75,152,73,494,45,97,347,1743,693,90,62,3,24,24,165,37,5,28,48,74,654,45,17,48,60,17,10,141
2020/5/11,15683,966,27,0,88,16,69,81,168,56,147,968,879,5002,1178,80,221,280,122,56,75,152,73,494,45,97,352,1744,694,90,62,3,24,25,165,37,5,28,48,74,654,45,17,48,60,17,10,141
2020/5/12,15756,979,27,0,88,16,69,81,168,57,147,969,882,5029,1193,80,221,283,122,57,75,152,73,495,45,97,352,1750,694,90,63,3,24,25,165,37,5,28,48,74,655,45,17,48,60,17,10,141
2020/5/13,15814,983,27,0,88,16,69,81,168,57,147,973,884,5039,1203,80,222,284,122,57,76,152,73,496,45,97,356,1762,697,90,63,3,24,25,165,37,5,28,51,74,656,46,17,48,60,17,10,141
2020/5/14,15917,989,27,0,88,16,69,81,168,58,147,977,884,5069,1235,80,224,284,122,57,76,152,73,501,45,97,357,1765,698,90,63,3,24,25,165,37,5,28,68,74,657,46,17,48,60,17,10,141
2020/5/15,15968,999,27,0,88,16,69,81,168,60,147,979,886,5078,1251,81,224,285,122,57,76,152,73,503,45,97,358,1768,698,90,63,3,24,25,165,37,5,28,70,74,657,46,17,48,60,17,10,141
2020/5/16,16021,1006,27,0,88,16,69,81,168,60,147,984,894,5092,1263,81,225,286,122,57,76,152,73,503,45,98,358,1770,699,90,63,3,24,25,165,37,5,28,70,74,657,47,17,48,60,17,10,141
2020/5/17,16047,1014,27,0,88,16,69,81,168,60,147,988,894,5097,1268,81,225,287,122,57,76,152,73,504,45,99,358,1770,699,90,63,3,24,25,165,37,5,28,71,74,657,47,17,48,60,17,10,141
2020/5/18,16082,1015,27,0,88,16,69,81,168,61,147,991,896,5107,1276,81,227,287,122,58,76,152,73,506,45,99,358,1771,699,90,63,3,24,25,166,37,5,28,73,74,658,47,17,48,60,17,10,141
2020/5/19,16108,1018,27,0,88,16,69,81,168,62,147,991,896,5112,1284,81,227,290,122,60,76,152,73,506,45,99,358,1774,699,90,63,3,24,25,166,37,5,28,74,74,658,47,17,48,60,17,10,141
2020/5/20,16146,1020,27,0,88,16,69,81,168,64,148,996,897,5117,1302,81,227,290,122,60,76,152,73,506,45,99,358,1777,699,91,63,3,24,25,166,37,5,28,74,74,658,47,17,48,60,17,10,141
2020/5/21,16186,1025,27,0,88,16,69,81,168,64,148,997,900,5128,1315,81,227,292,122,60,76,152,74,506,45,99,358,1780,699,91,63,3,24,25,166,37,5,28,75,74,658,47,17,48,60,17,10,141
2020/5/22,16210,1031,27,0,88,16,69,81,168,64,148,998,900,5131,1322,81,227,294,122,60,76,152,74,506,45,99,358,1781,699,91,63,3,24,25,167,37,5,28,78,74,658,47,17,48,60,17,10,141
2020/5/23,16230,1040,27,0,88,16,69,81,168,64,149,999,900,5133,1327,81,227,295,122,60,76,152,74,506,45,99,358,1781,699,91,63,3,24,25,167,37,5,28,79,74,658,47,17,48,60,17,10,141
2020/5/24,16271,1055,27,0,88,16,69,81,168,64,149,999,900,5147,1332,81,227,295,122,60,76,152,75,506,45,100,358,1781,699,91,63,3,24,25,167,37,5,28,80,74,662,47,17,48,60,17,10,141
