Date,ALL,Hokkaido,Aomori,Iwate,Miyagi,Akita,Yamagata,Fukushima,Ibaraki,Tochigi,Gunma,Saitama,Chiba,Tokyo,Kanagawa,Niigata,Toyama,Ishikawa,Fukui,Yamanashi,Nagano,Gifu,Shizuoka,Aichi,Mie,Shiga,Kyoto,Osaka,Hyogo,Nara,Wakayama,Tottori,Shimane,Okayama,Hiroshima,Yamaguchi,Tokushima,Kagawa,Ehime,Kochi,Fukuoka,Saga,Nagasaki,Kumamoto,Oita,Miyazaki,Kagoshima,Okinawa
2020/5/9,620,51,0,0,1,0,0,0,9,0,18,41,39,180,51,0,13,16,8,0,0,6,1,34,1,1,13,59,32,2,2,0,0,0,2,0,1,0,3,3,24,0,1,3,0,0,0,5
2020/5/10,631,56,0,0,1,0,0,0,9,0,18,42,40,180,53,0,13,16,8,0,0,6,1,34,1,1,13,59,34,2,2,0,0,0,2,0,1,0,3,3,24,0,1,3,0,0,0,5
2020/5/11,655,62,0,0,1,0,0,0,9,0,18,42,40,189,57,0,14,17,8,0,0,6,1,34,1,1,13,61,34,2,3,0,0,0,2,0,1,0,3,3,24,0,1,3,0,0,0,5
2020/5/12,675,68,0,0,1,0,0,0,9,0,18,43,40,196,59,0,15,19,8,0,0,6,1,34,1,1,13,61,34,2,3,0,0,0,2,0,1,0,3,3,24,0,1,3,0,0,0,6
2020/5/13,691,70,0,0,1,0,0,0,9,0,18,44,40,203,62,0,16,19,8,0,0,6,1,34,1,1,13,62,35,2,3,0,0,0,2,0,1,0,3,3,24,0,1,3,0,0,0,6
2020/5/14,712,72,0,0,1,0,0,0,9,0,18,45,40,212,63,0,18,20,8,0,0,7,1,34,1,1,13,63,37,2,3,0,0,0,2,0,1,0,3,3,25,0,1,3,0,0,0,6
2020/5/15,726,73,0,0,1,0,0,0,9,0,18,45,42,219,64,0,18,20,8,0,0,7,1,34,1,1,13,66,37,2,3,0,0,0,2,0,1,0,3,3,25,0,1,3,0,0,0,6
2020/5/16,745,74,0,0,1,0,0,0,9,0,18,46,42,230,64,0,18,21,8,0,0,7,1,34,1,1,13,70,38,2,3,0,0,0,2,0,1,0,3,3,25,0,1,3,0,0,0,6
2020/5/17,753,75,0,0,1,0,0,0,9,0,18,46,42,237,64,0,18,21,8,0,0,7,1,34,1,1,13,70,38,2,3,0,0,0,2,0,1,0,3,3,25,0,1,3,0,0,0,6
2020/5/18,767,76,1,0,1,0,0,0,9,0,18,46,42,241,68,0,20,22,8,0,0,7,1,34,1,1,14,70,38,2,3,0,0,0,2,0,1,0,3,3,25,0,1,3,0,0,0,6
2020/5/19,771,77,1,0,1,0,0,0,9,0,18,46,42,244,68,0,20,22,8,0,0,7,1,34,1,1,14,70,38,2,3,0,0,0,2,0,1,0,3,3,25,0,1,3,0,0,0,6
2020/5/20,777,77,1,0,1,0,0,0,9,0,19,46,42,247,69,0,20,22,8,0,0,7,1,34,1,1,14,71,38,2,3,0,0,0,2,0,1,0,3,3,25,0,1,3,0,0,0,6
