記者発表日,発生届による新規陽性者数(A),自主療養者数(B),医療機関から報告された患者数(C),陽性者登録者数（セルフテスト分）(D),新規感染者数(A)+(B)+(C)+(D),新規感染者数の推移（人口10万人当たり・週合計）,新規感染者数（過去1週間の平均）,新規感染者数の推移（週合計の前週比）
2020/1/16,1,,,,1,,,
2020/1/17,0,,,,0,,,
2020/1/18,0,,,,0,,,
2020/1/19,0,,,,0,,,
2020/1/20,0,,,,0,,,
2020/1/21,0,,,,0,,,
2020/1/22,0,,,,0,0.01,0.14,
2020/1/23,0,,,,0,0.00,0.00,
2020/1/24,0,,,,0,0.00,0.00,
2020/1/25,0,,,,0,0.00,0.00,
2020/1/26,0,,,,0,0.00,0.00,
2020/1/27,0,,,,0,0.00,0.00,
2020/1/28,0,,,,0,0.00,0.00,
2020/1/29,0,,,,0,0.00,0.00,0.00%
2020/1/30,0,,,,0,0.00,0.00,0.00%
2020/1/31,0,,,,0,0.00,0.00,0.00%
2020/2/1,0,,,,0,0.00,0.00,0.00%
2020/2/2,0,,,,0,0.00,0.00,0.00%
2020/2/3,0,,,,0,0.00,0.00,0.00%
2020/2/4,0,,,,0,0.00,0.00,0.00%
2020/2/5,0,,,,0,0.00,0.00,0.00%
2020/2/6,0,,,,0,0.00,0.00,0.00%
2020/2/7,0,,,,0,0.00,0.00,0.00%
2020/2/8,0,,,,0,0.00,0.00,0.00%
2020/2/9,0,,,,0,0.00,0.00,0.00%
2020/2/10,0,,,,0,0.00,0.00,0.00%
2020/2/11,1,,,,1,0.01,0.14,0.00%
2020/2/12,0,,,,0,0.01,0.14,0.00%
2020/2/13,1,,,,1,0.02,0.29,0.00%
2020/2/14,1,,,,1,0.03,0.43,0.00%
2020/2/15,0,,,,0,0.03,0.43,0.00%
2020/2/16,0,,,,0,0.03,0.43,0.00%
2020/2/17,1,,,,1,0.04,0.57,0.00%
2020/2/18,1,,,,1,0.04,0.57,400.00%
2020/2/19,2,,,,2,0.07,0.86,600.00%
2020/2/20,2,,,,2,0.08,1.00,350.00%
2020/2/21,3,,,,3,0.10,1.29,300.00%
2020/2/22,1,,,,1,0.11,1.43,333.33%
2020/2/23,0,,,,0,0.11,1.43,333.33%
2020/2/24,4,,,,4,0.14,1.86,325.00%
2020/2/25,0,,,,0,0.13,1.71,300.00%
2020/2/26,1,,,,1,0.12,1.57,183.33%
2020/2/27,3,,,,3,0.13,1.71,171.43%
2020/2/28,2,,,,2,0.12,1.57,122.22%
2020/2/29,0,,,,0,0.11,1.43,100.00%
2020/3/1,3,,,,3,0.14,1.86,130.00%
2020/3/2,4,,,,4,0.14,1.86,100.00%
2020/3/3,1,,,,1,0.15,2.00,116.67%
2020/3/4,0,,,,0,0.14,1.86,118.18%
2020/3/5,3,,,,3,0.14,1.86,108.33%
2020/3/6,6,,,,6,0.18,2.43,154.55%
2020/3/7,1,,,,1,0.20,2.57,180.00%
2020/3/8,0,,,,0,0.16,2.14,115.38%
2020/3/9,0,,,,0,0.12,1.57,84.62%
2020/3/10,2,,,,2,0.13,1.71,85.71%
2020/3/11,3,,,,3,0.16,2.14,115.38%
2020/3/12,3,,,,3,0.16,2.14,115.38%
2020/3/13,1,,,,1,0.11,1.43,58.82%
