記者発表日,【年代別】新規感染者数_10歳未満,【年代別】新規感染者数_10代,【年代別】新規感染者数_20代,【年代別】新規感染者数_30代,【年代別】新規感染者数_40代,【年代別】新規感染者数_50代,【年代別】新規感染者数_60代,【年代別】新規感染者数_70代,【年代別】新規感染者数_80代,【年代別】新規感染者数_90歳以上,【年代別】新規感染者数_年代非公開
2020/1/16,0,0,0,1,0,0,0,0,0,0,0
2020/1/17,0,0,0,0,0,0,0,0,0,0,0
2020/1/18,0,0,0,0,0,0,0,0,0,0,0
2020/1/19,0,0,0,0,0,0,0,0,0,0,0
2020/1/20,0,0,0,0,0,0,0,0,0,0,0
2020/1/21,0,0,0,0,0,0,0,0,0,0,0
2020/1/22,0,0,0,0,0,0,0,0,0,0,0
2020/1/23,0,0,0,0,0,0,0,0,0,0,0
2020/1/24,0,0,0,0,0,0,0,0,0,0,0
2020/1/25,0,0,0,0,0,0,0,0,0,0,0
2020/1/26,0,0,0,0,0,0,0,0,0,0,0
2020/1/27,0,0,0,0,0,0,0,0,0,0,0
2020/1/28,0,0,0,0,0,0,0,0,0,0,0
2020/1/29,0,0,0,0,0,0,0,0,0,0,0
2020/1/30,0,0,0,0,0,0,0,0,0,0,0
2020/1/31,0,0,0,0,0,0,0,0,0,0,0
2020/2/1,0,0,0,0,0,0,0,0,0,0,0
2020/2/2,0,0,0,0,0,0,0,0,0,0,0
2020/2/3,0,0,0,0,0,0,0,0,0,0,0
2020/2/4,0,0,0,0,0,0,0,0,0,0,0
2020/2/5,0,0,0,0,0,0,0,0,0,0,0
2020/2/6,0,0,0,0,0,0,0,0,0,0,0
2020/2/7,0,0,0,0,0,0,0,0,0,0,0
2020/2/8,0,0,0,0,0,0,0,0,0,0,0
2020/2/9,0,0,0,0,0,0,0,0,0,0,0
2020/2/10,0,0,0,0,0,0,0,0,0,0,0
2020/2/11,0,0,0,0,0,1,0,0,0,0,0
2020/2/12,0,0,0,0,0,0,0,0,0,0,0
2020/2/13,0,0,0,0,0,0,0,0,1,0,0
2020/2/14,0,0,0,1,0,0,0,0,0,0,0
2020/2/15,0,0,0,0,0,0,0,0,0,0,0
2020/2/16,0,0,0,0,0,0,0,0,0,0,0
2020/2/17,0,0,0,0,1,0,0,0,0,0,0
2020/2/18,0,0,0,0,0,0,1,0,0,0,0
2020/2/19,0,0,0,0,0,0,0,1,1,0,0
2020/2/20,0,0,0,0,0,0,1,0,1,0,0
2020/2/21,0,0,0,1,0,0,0,0,2,0,0
2020/2/22,0,0,0,0,0,1,0,0,0,0,0
2020/2/23,0,0,0,0,0,0,0,0,0,0,0
2020/2/24,0,0,2,0,0,2,0,0,0,0,0
2020/2/25,0,0,0,0,0,0,0,0,0,0,0
2020/2/26,0,0,0,0,0,0,1,0,0,0,0
2020/2/27,0,0,1,0,1,1,0,0,0,0,0
2020/2/28,0,0,0,0,0,1,0,1,0,0,0
2020/2/29,0,0,0,0,0,0,0,0,0,0,0
2020/3/1,0,0,0,0,0,3,0,0,0,0,0
2020/3/2,0,0,0,0,0,0,1,0,0,0,3
2020/3/3,0,0,1,0,0,0,0,0,0,0,0
2020/3/4,0,0,0,0,0,0,0,0,0,0,0
2020/3/5,0,0,0,0,0,2,1,0,0,0,0
2020/3/6,0,0,2,2,0,0,0,2,0,0,0
2020/3/7,0,0,0,0,0,0,0,0,1,0,0
2020/3/8,0,0,0,0,0,0,0,0,0,0,0
2020/3/9,0,0,0,0,0,0,0,0,0,0,0
2020/3/10,0,0,2,0,0,0,0,0,0,0,0
2020/3/11,0,0,1,0,1,0,0,1,0,0,0
2020/3/12,0,0,0,1,0,0,0,2,0,0,0
2020/3/13,0,0,0,0,0,0,1,0,0,0,0
2020/3/14,0,0,0,0,0,0,0,0,0,0,0
2020/3/15,0,0,0,0,1,1,0,3,1,0,0
2020/3/16,0,0,0,0,0,0,0,0,0,0,0
2020/3/17,0,0,0,0,0,0,0,3,1,0,0
2020/3/18,0,0,0,0,0,0,0,0,1,0,0
2020/3/19,0,0,3,0,1,0,2,0,0,0,0
2020/3/20,0,0,0,1,0,0,0,0,0,1,0
2020/3/21,0,0,0,0,1,0,2,0,0,1,0
2020/3/22,0,0,1,2,1,0,1,0,0,0,0
2020/3/23,0,0,0,0,0,0,0,0,0,0,0
2020/3/24,0,1,0,2,2,0,0,1,0,0,0
2020/3/25,0,0,3,0,0,1,0,0,0,0,0
2020/3/26,0,0,0,2,1,0,2,1,0,0,0
2020/3/27,0,0,0,3,3,1,3,0,1,0,0
2020/3/28,0,0,4,1,2,3,1,0,0,0,1
2020/3/29,0,0,1,2,2,2,2,0,0,0,0
2020/3/30,0,0,1,0,2,0,0,0,0,0,0
2020/3/31,0,1,2,2,3,4,1,1,0,0,0
2020/4/1,2,1,3,5,3,3,2,0,0,0,0
2020/4/2,0,0,8,5,0,4,5,1,2,0,0
2020/4/3,2,0,7,5,6,3,3,4,1,0,0
2020/4/4,0,0,3,7,4,2,4,1,0,0,0
2020/4/5,1,1,7,4,2,5,5,2,0,0,0
2020/4/6,0,0,0,1,1,2,1,1,0,0,0
2020/4/7,0,0,1,5,2,8,1,0,0,1,0
2020/4/8,2,1,10,6,11,12,4,14,3,1,0
2020/4/9,0,0,6,9,2,5,3,2,1,0,0
2020/4/10,0,2,8,13,8,8,4,6,3,3,0
2020/4/11,0,0,7,9,24,20,7,5,4,0,0
2020/4/12,1,1,7,4,6,6,2,1,2,1,0
2020/4/13,0,1,4,1,4,1,3,1,0,0,0
2020/4/14,0,1,3,1,6,5,3,1,0,0,0
2020/4/15,0,2,4,6,13,4,7,2,2,0,0
2020/4/16,0,0,9,10,11,10,6,4,4,1,0
2020/4/17,0,2,6,8,3,7,6,1,1,0,0
2020/4/18,0,0,3,6,8,14,8,3,2,0,0
2020/4/19,0,1,1,4,5,8,4,3,3,1,0
2020/4/20,0,0,0,2,4,3,4,3,0,0,0
2020/4/21,0,0,1,2,3,5,1,2,0,0,0
2020/4/22,0,1,2,3,3,2,4,4,6,0,0
2020/4/23,1,2,6,5,4,12,5,4,0,0,0
2020/4/24,1,2,4,1,3,8,5,5,3,0,0
